Hp0_x,y,z
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
55.4978,89.1606,80.259
2.27346,65.4733,93.9389
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
39.6522,43.9189,25.9333
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
39.019,90.8303,49.1266
